CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
1029.05,91.1,12.2,90.4,18900,-11.03,13.03,8.8,45.9
1025.3,89.9,15.13,84.32,18950,-11.99,12.88,10,50.25
952.45,88.6,13.08,86.37,19000,-13.18,12.82,11.3,56.15
900,87.2,12.39,86.23,19050,-13.93,12.48,12.7,58.5
852.7,85.7,12.06,85.38,19100,-15.22,12.37,14.2,64.75
832.9,84.1,13.38,81.41,19150,-16.46,12.2,15.8,70.35
765.5,82.4,11.8,82.64,19200,-18.06,12.16,17.5,78.85
761.2,80.6,13.73,77.5,19250,-19.61,12.04,19.3,86.7
700.95,78.7,12.59,77.53,19300,-21.29,11.93,21.2,95.5
668.4,76.6,12.84,75.2,19350,-22.94,11.74,23.3,103.55
615.25,74.5,12.05,74.45,19400,-24.81,11.62,25.4,113.55
597.9,72.3,12.9,71.08,19450,-26.89,11.54,27.6,125.55
541.55,70,11.93,70.25,19500,-29.17,11.54,29.9,140.05
510.95,67.6,12.07,67.76,19550,-31.42,11.44,32.3,153.75
468,65.1,11.63,65.89,19600,-33.84,11.41,34.8,169.9
427.55,62.6,11.27,63.76,19650,-36.11,11.15,37.3,181.9
397.45,60.1,11.29,61.13,19700,-38.97,11.4,39.8,207.55
371.15,57.5,11.4,58.4,19750,-41.4,11.08,42.4,220.3
342.8,54.8,11.38,55.74,19800,-44.12,11.01,45.1,240.45
311.65,52.2,11.2,53.07,19850,-46.88,10.91,47.7,261.4
283.95,49.6,11.1,50.32,19900,-49.7,10.88,50.3,285.5
252.15,46.9,10.79,47.45,19950,-52.59,10.69,53,306.8
235.4,44.3,11,44.76,20000,-55.47,10.64,55.6,333.3
210.6,41.7,10.85,41.9,20050,-58.4,10.52,58.2,359.45
188.2,39.2,10.74,39.05,20100,-61.49,10.28,60.7,383.9
166.85,36.7,10.61,36.18,20150,-65.05,9.77,63.2,403.85
152.05,34.3,10.7,33.67,20200,-67.31,10.1,65.6,445.2
130.9,31.9,10.45,30.69,20250,-69.91,10.13,68,480.8
117.5,29.6,10.49,28.26,20300,-72.52,10.1,70.3,516.25
103.45,27.4,10.43,25.78,20350,-73.32,10.87,72.5,570
91.65,25.3,10.43,23.51,20400,-76.93,10.24,74.6,595.05
81.45,23.3,10.46,21.42,20450,-81.55,9.26,76.6,617
72.2,21.4,10.49,19.45,20500,-83.1,9.46,78.5,661.9
-,-,-,-,20550,-86.16,9.04,80.3,698
53,17.8,10.33,15.39,20600,-86.12,9.71,82.1,751.15
46.95,16.2,10.39,13.89,20650,0,0,83.7,719.75
40.7,14.7,10.38,12.37,20700,-96.04,6.9,85.2,814.35
-,-,-,-,20750,0,0,86.6,802.45
31.05,12,10.45,9.84,20800,0,0,87.9,904.55
-,-,-,-,20850,0,0,89.1,828.75
