CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
1002.7,99.3,14.41,98.19,18800,-3.27,16.4,0.6,7.25
400.65,99.1,0,0,18850,-3.69,16.04,0.8,8.15
950,98.7,23.7,87.62,18900,-4.13,15.63,1.2,9.05
1029.5,98.2,36.92,76.41,18950,-4.79,15.37,1.7,10.55
847.35,97.6,21.43,87.12,19000,-5.38,14.95,2.3,11.75
938.65,96.8,35.3,74.64,19050,-6.13,14.59,3.1,13.35
755.85,95.8,20.6,84.82,19100,-6.77,14.06,4.1,14.45
662.35,94.6,12.93,93.39,19150,-8.13,13.95,5.3,17.8
652,93.1,18.12,84.09,19200,-8.97,13.38,6.8,19.2
601.3,91.2,17.03,83.44,19250,-10.08,12.88,8.7,21.25
558.9,89.1,16.85,81.39,19300,-11.48,12.43,10.8,24
519.7,86.6,16.9,78.86,19350,-13.73,12.29,13.3,29.55
469,83.7,15.71,77.78,19400,-16.11,12.05,16.2,35.3
430,80.5,15.59,75.01,19450,-18.59,11.68,19.4,41
389.8,76.9,15.25,72.3,19500,-21.82,11.48,23,49.5
344.2,72.9,14.36,69.98,19550,-25.47,11.29,27,59.6
303.7,68.7,13.8,66.88,19600,-29.46,11.05,31.2,70.9
273.7,64.2,13.96,62.79,19650,-34.1,10.96,35.7,85.95
240.15,59.6,13.69,58.89,19700,-38.89,10.68,40.3,101
207.95,54.8,13.37,54.77,19750,-44.07,10.33,45.1,117.35
176.65,49.9,12.97,50.4,19800,-49.72,10.1,50,138
150.65,45,12.8,45.84,19850,-55.45,10.13,54.9,165.1
128.65,40.3,12.75,41.33,19900,-61.65,9.63,59.6,188
104.55,35.7,12.36,36.54,19950,-67.48,9.51,64.2,219.1
88,31.3,12.38,32.25,20000,-73.69,9.09,68.6,249.8
72.2,27.1,12.29,28.03,20050,-80.56,8.38,72.8,281.2
57.95,23.3,12.15,23.95,20100,-86.03,8.02,76.6,319.95
46.95,19.8,12.12,20.39,20150,-90.08,7.86,80.1,363.1
38.6,16.6,12.21,17.37,20200,0,0,83.3,396.85
31.95,13.8,12.34,14.8,20250,0,0,86.1,441.95
25,11.3,12.28,12.17,20300,0,0,88.6,487.9
20.65,9.2,12.44,10.28,20350,0,0,90.7,533.4
16.6,7.4,12.52,8.52,20400,0,0,92.5,579.95
14.4,5.9,12.84,7.4,20450,0,0,94,600
11.9,4.6,13.01,6.23,20500,0,0,95.3,673.8
9.75,3.6,13.16,5.2,20550,0,0,96.3,685.2
7.8,2.7,13.25,4.26,20600,0,0,97.2,769.55
6.8,2.1,13.55,3.71,20650,0,0,97.8,765
5.55,1.5,13.69,3.08,20700,0,0,98.4,835
5.45,1.1,14.26,2.92,20750,0,0,98.8,900.6
