CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
973.95,99.9,0,0,18800,-1.8,23.53,0,3.15
948.45,99.8,32.45,92.64,18850,-1.94,22.63,0.1,3.3
877.9,99.7,19.28,98.89,18900,-2.23,21.99,0.2,3.75
845.1,99.5,28.53,92.85,18950,-2.49,21.21,0.4,4.1
791.4,99.2,25.81,93.54,19000,-2.89,20.57,0.7,4.7
743.7,98.8,25.32,92.59,19050,-3.26,19.78,1.1,5.2
685.5,98.3,20.75,94.91,19100,-3.76,19.07,1.6,5.9
627.9,97.5,14.33,98.55,19150,-4.35,18.33,2.4,6.7
586.4,96.4,18.61,93.94,19200,-4.9,17.42,3.5,7.3
532.7,95,15.71,95.28,19250,-5.72,16.65,4.9,8.35
486.95,93.2,16.21,92.86,19300,-6.89,16.01,6.7,10
436.55,90.8,14.74,92.51,19350,-8.33,15.36,9.1,12
390.1,88,14.47,90.22,19400,-10.49,14.94,11.9,15.4
334.3,84.5,11.3,92.41,19450,-13.23,14.56,15.4,19.9
299.15,80.5,13.58,84.4,19500,-16.83,14.3,19.4,26.35
259.3,75.9,13.76,79.34,19550,-21.17,14.06,24,34.7
217.2,70.8,13.15,74.76,19600,-26.47,13.97,29.1,46.2
180.85,65.2,13.04,68.55,19650,-32.1,13.57,34.7,58.3
149.65,59.3,13.19,61.46,19700,-38.97,13.74,40.6,77.6
121.25,53.2,13.22,54.17,19750,-45.95,13.69,46.7,98.7
97.75,47,13.4,46.84,19800,-53.17,13.39,52.9,121.25
76.7,41,13.44,39.7,19850,-60.32,13.41,58.9,150.1
59.5,35.1,13.53,33.02,19900,-66.77,13.7,64.8,184.4
45.05,29.6,13.56,26.85,19950,-73.92,13.08,70.3,215.4
34.4,24.5,13.75,21.62,20000,-78.99,13.4,75.4,255.9
24.95,20,13.74,16.81,20050,-84.46,13.05,79.9,295.1
18.9,16,14.01,13.23,20100,-87.74,13.46,83.9,340.15
13.65,12.6,14.11,10.06,20150,-93.33,12.03,87.3,380.75
10.1,9.7,14.34,7.71,20200,-94.63,12.7,90.2,429.45
7.65,7.3,14.66,5.98,20250,-92.1,16.15,92.6,485.3
6,5.4,15.08,4.73,20300,0,0,94.5,515.9
4.9,4,15.6,3.86,20350,0,0,95.9,544.05
4.1,2.8,16.17,3.2,20400,-96.13,16.96,97.1,628.95
3.65,2,16.88,2.78,20450,0,0,97.9,659.45
3.45,1.3,17.74,2.53,20500,0,0,98.6,719.25
3.05,0.9,18.38,2.2,20550,0,0,99,745.85
3,0.6,19.31,2.08,20600,0,0,99.3,797
2.8,0.4,20.07,1.89,20650,0,0,99.5,769.85
2.75,0.2,20.96,1.79,20700,0,0,99.7,892.6
2.6,0.1,21.72,1.65,20750,0,0,99.8,952.3
