CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
-,-,-,-,18300,-5.36,19.31,0.3,23.1
-,-,-,-,18350,-4.96,18.2,0.5,19.85
-,-,-,-,18550,-6.23,16.79,1.3,23.85
-,-,-,-,18600,-6.9,16.69,1.7,26.75
-,-,-,-,18700,-8.18,16.29,2.6,31.95
-,-,-,-,18750,-6.78,14.46,3.2,22.65
-,-,-,-,18800,-9.98,16.08,3.9,40
-,-,-,-,18850,-11.56,16.4,4.7,48.8
-,-,-,-,18900,-8.16,13.26,5.6,25.85
-,-,-,-,19000,-9.84,12.75,7.9,31.05
-,-,-,-,19050,-18.64,17.55,9.2,94.7
674.75,89.1,0,0,19100,-,-,-,-
-,-,-,-,19200,-15.01,11.99,14.4,48.95
574.95,76.3,15.65,70.84,19400,-,-,-,-
458.55,70.7,13,69.19,19500,-27.56,10.82,29.2,96.55
648.1,67.7,24.36,59.87,19550,-31.55,11.43,32.2,122.6
418.75,64.6,14.3,62.63,19600,-33.4,10.45,35.3,121.15
374.25,61.4,13.57,60.47,19650,-36.73,10.33,38.5,136.85
341.45,58.2,13.38,57.77,19700,-40.22,10.19,41.7,153.9
309.6,54.9,13.17,54.97,19750,-43.55,9.45,45,160.3
277.65,51.5,12.88,52.07,19800,-47.63,9.57,48.4,186.15
259.05,48.2,13.17,49.13,19850,-51.72,9.32,51.7,206.25
223.45,44.8,12.57,45.97,19900,-55.83,9.31,55.1,233.5
188.15,41.6,11.89,42.48,19950,-59.14,9.99,58.3,276.55
173,38.4,12.13,39.57,20000,-64.62,8.79,61.5,284.2
153.1,35.2,12.05,36.48,20050,-64.68,11.13,64.7,362
127.95,32.2,11.61,32.93,20100,0,0,67.7,275.75
122.4,29.3,12.15,30.87,20150,-,-,-,-
99.9,26.5,11.67,27.34,20200,0,0,73.4,330.75
76.5,21.4,11.69,22.28,20300,-,-,-,-
44,13.2,11.84,14.23,20500,-,-,-,-
118.4,11.5,17.83,22.67,20550,-,-,-,-
29.7,10,11.59,10.48,20600,-,-,-,-
67.8,7.5,16.16,15.76,20700,-,-,-,-
17.95,5.4,12.11,6.62,20800,-,-,-,-
19.4,4.6,12.79,6.75,20850,-,-,-,-
16,3.9,12.72,5.75,20900,-,-,-,-
12.55,1.9,13.82,4.35,21100,-,-,-,-
10,1,14.46,3.43,21250,-,-,-,-
10,0.8,14.86,3.35,21300,-,-,-,-
