CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
8200,97.4,49.63,83.02,14000,-2.2,17.08,2.5,37.05
-,-,-,-,15000,-4.68,17.08,5.3,88.5
4995,90,19.86,88.51,16000,-8.07,16.52,9.9,162.5
4161,83.6,19.28,83.33,17000,-11.54,14.8,16.3,222.7
3440,75.6,19.38,76.32,18000,-18,14,24.3,366.25
3080,71.1,19.05,72.74,18500,-,-,-,-
2732.1,66.4,18.64,68.92,19000,-26.89,13.27,33.5,586
2050,56.7,17.37,60.53,20000,-38.05,12.29,43.2,878.15
1461,47,16.23,50.81,21000,-51.92,10.97,52.9,1252
990,37.9,15.33,40.39,22000,-68.83,9.39,62,1750
675,29.8,15.07,30.94,23000,-83.46,8.65,70.1,2490
