CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
1105.6,83.2,12.32,84.52,19000,-17.36,13.38,16.7,109.85
1034.7,82,10.86,86.22,19050,-18.34,13.25,17.9,116.55
1162.35,80.7,17.78,74.38,19100,-19.26,13.05,19.2,122.2
978.85,79.3,12.11,81.09,19150,-20.08,12.77,20.6,126.05
936,77.9,11.97,79.95,19200,-21.43,12.75,22,136.9
881.65,76.5,11.34,79.68,19250,-22.17,12.35,23.4,138.5
864.25,75,12.17,76.65,19300,-23.82,12.45,24.9,153.4
800,73.4,11.15,76.88,19350,-25.34,12.45,26.5,166.45
799.9,71.8,12.49,73.02,19400,-26.86,12.41,28.1,179.25
819.25,70.2,14.33,69.15,19450,-28.27,12.26,29.7,189.75
717.8,68.6,12.07,70.31,19500,-29.83,12.17,31.3,202.55
708.8,66.9,12.88,67.61,19550,-31.18,11.88,33,210
647.35,65.1,11.95,66.94,19600,-33.19,12.07,34.8,232.65
695,63.4,14.44,62.98,19650,-35.12,12.19,36.5,254.45
579.95,61.6,11.82,63.38,19700,-36.71,11.92,38.3,264.85
539.95,59.8,11.52,61.72,19750,-38.79,12.18,40.1,293.3
514.45,58,11.64,59.67,19800,-40.41,11.77,41.9,300.45
511.2,56.1,12.39,57.36,19850,-42.37,11.78,43.8,322.55
449.4,54.3,11.37,55.81,19900,-44.25,11.53,45.6,336.85
420,52.5,11.28,53.78,19950,-46.2,11.16,47.4,347.65
398.85,50.6,11.4,51.72,20000,-48.29,11.17,49.3,372.55
350,48.8,10.69,49.53,20050,-50.39,11.05,51.1,394.15
342.75,46.9,11.16,47.55,20100,-52.45,11.16,53,424.45
326.55,45.1,11.34,45.59,20150,-55.81,9.23,54.8,386.8
295.35,43.3,11.05,43.35,20200,-56.57,11.16,56.6,480.85
260.65,41.5,10.61,40.88,20250,-60,9.8,58.4,465.55
249.25,39.8,10.84,39.06,20300,-60.47,11.27,60.1,545
250.05,38,11.43,37.77,20350,-67.49,8.15,61.9,477.5
210,36.3,10.72,34.88,20400,-64.74,10.98,63.6,600
-,-,-,-,20450,-68.1,10.13,65.3,607.45
176.7,33,10.65,30.9,20500,-70.12,10.11,66.9,642.15
-,-,-,-,20550,-82.28,6.51,68.5,584.5
142.25,29.8,10.41,26.74,20600,-,-,-,-
179.15,28.2,12.15,28.39,20650,-,-,-,-
118.1,26.7,10.39,23.24,20700,-,-,-,-
110.9,25.3,10.52,21.93,20750,-,-,-,-
98.75,23.9,10.43,20.17,20800,-,-,-,-
82.45,21.2,10.49,17.42,20900,-,-,-,-
69.9,18.8,10.61,15.12,21000,-89.23,8.89,81.1,1020.6
49.1,14.4,10.8,11.17,21200,-,-,-,-
